ROOMS; DEVICES; SIZE; TIME; LOAD_TIME; GROUND_TIME; SOLUTION_TIME
1; 4; 114; 0.0031969547271728516; 0.0006110668182373047; 0.002213716506958008; 0.00037217140197753906
1; 4; 114; 0.0012183189392089844; 0.00015544891357421875; 0.0009386539459228516; 0.00012421607971191406
1; 4; 114; 0.0011737346649169922; 0.0001442432403564453; 0.0009086132049560547; 0.00012087821960449219
1; 4; 114; 0.001171112060546875; 0.00014328956604003906; 0.0009062290191650391; 0.00012159347534179688
1; 4; 114; 0.0011899471282958984; 0.000141143798828125; 0.0009272098541259766; 0.00012159347534179688
10001; 40004; 850114; 19.853041172027588; 0.35039424896240234; 19.28845238685608; 0.21419453620910645
10001; 40004; 850114; 18.47938323020935; 0.22665977478027344; 18.103715896606445; 0.14900755882263184
10001; 40004; 850114; 18.612911701202393; 0.22843194007873535; 18.23603105545044; 0.14844870567321777
10001; 40004; 850114; 18.60352611541748; 0.2292616367340088; 18.226139068603516; 0.14812541007995605
10001; 40004; 850114; 18.617483854293823; 0.22771406173706055; 18.241767168045044; 0.14800262451171875
20001; 80004; 1700114; 71.529305934906; 0.6020703315734863; 70.55594038963318; 0.3712952136993408
20001; 80004; 1700114; 71.37546968460083; 0.45734310150146484; 70.6099021434784; 0.3082244396209717
20001; 80004; 1700114; 71.36898708343506; 0.46055006980895996; 70.60628747940063; 0.30214953422546387
20001; 80004; 1700114; 71.64657664299011; 0.46823906898498535; 70.87474489212036; 0.3035926818847656
20001; 80004; 1700114; 71.32567548751831; 0.46169424057006836; 70.55837106704712; 0.30561017990112305
30001; 120004; 2550114; 134.80024576187134; 0.8399145603179932; 133.42218255996704; 0.5381486415863037
30001; 120004; 2550114; 136.55550503730774; 0.6971759796142578; 135.38822507858276; 0.4701039791107178
30001; 120004; 2550114; 135.12423133850098; 0.7091042995452881; 133.94622159004211; 0.4689054489135742
30001; 120004; 2550114; 133.04132413864136; 0.6996164321899414; 131.87263131141663; 0.46907639503479004
30001; 120004; 2550114; 135.13606691360474; 0.6959869861602783; 133.9721119403839; 0.4679679870605469
40001; 160004; 3400114; 228.54088044166565; 1.0814409255981445; 226.76296591758728; 0.6964735984802246
40001; 160004; 3400114; 235.803151845932; 0.9558594226837158; 234.22220540046692; 0.6250870227813721
40001; 160004; 3400114; 228.143860578537; 0.944450855255127; 226.58146452903748; 0.6179451942443848
40001; 160004; 3400114; 231.3884723186493; 0.9391744136810303; 229.830806016922; 0.6184918880462646
40001; 160004; 3400114; 231.04586839675903; 0.9504845142364502; 229.47634434700012; 0.6190395355224609
50001; 200004; 4250114; 334.701623916626; 1.332401990890503; 332.4937069416046; 0.8755149841308594
50001; 200004; 4250114; 330.7230169773102; 1.1921255588531494; 328.7275719642639; 0.8033194541931152
50001; 200004; 4250114; 334.07948660850525; 1.1816461086273193; 332.0888578891754; 0.8089826107025146
50001; 200004; 4250114; 332.1983335018158; 1.1755404472351074; 330.2179319858551; 0.8048610687255859
50001; 200004; 4250114; 336.4189577102661; 1.1834380626678467; 334.4287705421448; 0.8067491054534912
60001; 240004; 5100114; 464.8486444950104; 1.6019091606140137; 462.22055077552795; 1.0261845588684082
60001; 240004; 5100114; 460.6306297779083; 1.4263043403625488; 458.2366361618042; 0.9676892757415771
60001; 240004; 5100114; 461.47727704048157; 1.4461681842803955; 459.04831886291504; 0.9827899932861328
60001; 240004; 5100114; 458.7363793849945; 1.4408504962921143; 456.31044149398804; 0.9850873947143555
60001; 240004; 5100114; 457.3825623989105; 1.4490077495574951; 454.95724606513977; 0.9763085842132568
70001; 280004; 5950114; 644.3509662151337; 1.8360204696655273; 641.3052277565002; 1.2097179889678955
70001; 280004; 5950114; 643.605699300766; 1.713301420211792; 640.7575876712799; 1.134810209274292
70001; 280004; 5950114; 634.745090007782; 1.6997795104980469; 631.655460357666; 1.38985013961792
70001; 280004; 5950114; 635.6635251045227; 1.7052512168884277; 632.8345055580139; 1.1237683296203613
70001; 280004; 5950114; 631.9425106048584; 1.6840555667877197; 629.1274461746216; 1.1310088634490967
80001; 320004; 6800114; 867.2868695259094; 2.1217432022094727; 863.8177053928375; 1.3474209308624268
80001; 320004; 6800114; 872.988778591156; 1.9401977062225342; 869.7601668834686; 1.2884140014648438
80001; 320004; 6800114; 866.1640348434448; 1.9292070865631104; 862.9443345069885; 1.2904932498931885
80001; 320004; 6800114; 863.6273858547211; 1.91996169090271; 860.4163422584534; 1.2910819053649902
80001; 320004; 6800114; 867.8101456165314; 1.9384331703186035; 864.5781328678131; 1.2935795783996582
90001; 360004; 7650114; 1045.2125017642975; 2.338210344314575; 1041.360918521881; 1.5133728981018066
90001; 360004; 7650114; 1040.9253990650177; 2.187581777572632; 1037.2920796871185; 1.445737600326538
90001; 360004; 7650114; 1040.5874252319336; 2.184140682220459; 1036.9746108055115; 1.4286737442016602
90001; 360004; 7650114; 1044.0866422653198; 2.1849453449249268; 1040.465678691864; 1.4360182285308838
90001; 360004; 7650114; 1039.0927090644836; 2.1926803588867188; 1035.4544157981873; 1.445612907409668
100001; 400004; 8500114; 1235.3831181526184; 2.606417417526245; 1231.0502479076385; 1.7264528274536133
100001; 400004; 8500114; 1230.2147920131683; 2.444138526916504; 1226.120700120926; 1.6499533653259277
100001; 400004; 8500114; 1246.8450615406036; 2.4905905723571777; 1242.695143699646; 1.6593272686004639
100001; 400004; 8500114; 1231.323004245758; 2.457859754562378; 1227.1839559078217; 1.6811885833740234
100001; 400004; 8500114; 1229.479932308197; 2.4653735160827637; 1225.3485453128815; 1.666013479232788
